2024-09-04 14:21:15,614 INFO    StreamThr :147559 [internal.py:wandb_internal():85] W&B internal server running at pid: 147559, started at: 2024-09-04 14:21:15.614226
2024-09-04 14:21:15,616 DEBUG   HandlerThread:147559 [handler.py:handle_request():158] handle_request: status
2024-09-04 14:21:15,619 INFO    WriterThread:147559 [datastore.py:open_for_write():87] open: /home/zky/AgentBoard_metasearch/agentboard/wandb/run-20240904_142115-ae5qnu4s/run-ae5qnu4s.wandb
2024-09-04 14:21:15,620 DEBUG   SenderThread:147559 [sender.py:send():391] send: header
2024-09-04 14:21:15,642 DEBUG   SenderThread:147559 [sender.py:send():391] send: run
2024-09-04 14:21:20,643 DEBUG   HandlerThread:147559 [handler.py:handle_request():158] handle_request: keepalive
2024-09-04 14:21:22,419 INFO    SenderThread:147559 [dir_watcher.py:__init__():211] watching files in: /home/zky/AgentBoard_metasearch/agentboard/wandb/run-20240904_142115-ae5qnu4s/files
2024-09-04 14:21:22,419 INFO    SenderThread:147559 [sender.py:_start_run_threads():1200] run started: ae5qnu4s with start time 1725430875.614297
2024-09-04 14:21:22,419 DEBUG   HandlerThread:147559 [handler.py:handle_request():158] handle_request: status_report
2024-09-04 14:21:22,425 DEBUG   HandlerThread:147559 [handler.py:handle_request():158] handle_request: check_version
2024-09-04 14:21:22,425 DEBUG   SenderThread:147559 [sender.py:send_request():418] send_request: check_version
2024-09-04 14:21:25,439 DEBUG   HandlerThread:147559 [handler.py:handle_request():158] handle_request: run_start
2024-09-04 14:21:25,451 DEBUG   HandlerThread:147559 [system_info.py:__init__():26] System info init
2024-09-04 14:21:25,452 DEBUG   HandlerThread:147559 [system_info.py:__init__():41] System info init done
2024-09-04 14:21:25,452 INFO    HandlerThread:147559 [system_monitor.py:start():194] Starting system monitor
2024-09-04 14:21:25,452 INFO    SystemMonitor:147559 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-09-04 14:21:25,453 INFO    HandlerThread:147559 [system_monitor.py:probe():214] Collecting system info
2024-09-04 14:21:25,453 INFO    SystemMonitor:147559 [interfaces.py:start():188] Started cpu monitoring
2024-09-04 14:21:25,454 INFO    SystemMonitor:147559 [interfaces.py:start():188] Started disk monitoring
2024-09-04 14:21:25,455 INFO    SystemMonitor:147559 [interfaces.py:start():188] Started gpu monitoring
2024-09-04 14:21:25,456 INFO    SystemMonitor:147559 [interfaces.py:start():188] Started memory monitoring
2024-09-04 14:21:25,456 INFO    SystemMonitor:147559 [interfaces.py:start():188] Started network monitoring
2024-09-04 14:21:25,466 DEBUG   HandlerThread:147559 [system_info.py:probe():152] Probing system
2024-09-04 14:21:25,520 DEBUG   HandlerThread:147559 [system_info.py:_probe_git():137] Probing git
2024-09-04 14:21:25,528 DEBUG   HandlerThread:147559 [system_info.py:_probe_git():145] Probing git done
2024-09-04 14:21:25,528 DEBUG   HandlerThread:147559 [system_info.py:probe():200] Probing system done
